ggml_cuda_init: found 4 CUDA devices (Total VRAM: 48732 MiB):
  Device 0: NVIDIA TITAN Xp, compute capability 6.1, VMM: yes, VRAM: 12183 MiB
  Device 1: NVIDIA TITAN Xp, compute capability 6.1, VMM: yes, VRAM: 12183 MiB
  Device 2: NVIDIA TITAN Xp, compute capability 6.1, VMM: yes, VRAM: 12183 MiB
  Device 3: NVIDIA TITAN Xp, compute capability 6.1, VMM: yes, VRAM: 12183 MiB
llama_print_build_info: build = 1 (69bf643)
llama_print_build_info: built with GNU 13.4.0 for Linux x86_64
llama_quantize: quantizing '/workspace/models/midm-11b-F16.gguf' to '/workspace/models/midm-11b-Q4_K_M.gguf' as Q4_K_M
llama_model_loader: loaded meta data with 34 key-value pairs and 435 tensors from /workspace/models/midm-11b-F16.gguf (version GGUF V3 (latest))
llama_model_loader: Dumping metadata keys/values. Note: KV overrides do not apply in this output.
llama_model_loader: - kv   0:                       general.architecture str              = llama
llama_model_loader: - kv   1:                               general.type str              = model
llama_model_loader: - kv   2:                     general.sampling.top_k i32              = 20
llama_model_loader: - kv   3:                     general.sampling.top_p f32              = 0.700000
llama_model_loader: - kv   4:                      general.sampling.temp f32              = 0.800000
llama_model_loader: - kv   5:                               general.name str              = Midm 11b
llama_model_loader: - kv   6:                           general.basename str              = midm
llama_model_loader: - kv   7:                         general.size_label str              = 11B
llama_model_loader: - kv   8:                            general.license str              = mit
llama_model_loader: - kv   9:                               general.tags arr[str,4]       = ["KT", "K-intelligence", "Mi:dm", "te...
llama_model_loader: - kv  10:                          general.languages arr[str,2]       = ["en", "ko"]
llama_model_loader: - kv  11:                          llama.block_count u32              = 48
llama_model_loader: - kv  12:                       llama.context_length u32              = 32768
llama_model_loader: - kv  13:                     llama.embedding_length u32              = 4096
llama_model_loader: - kv  14:                  llama.feed_forward_length u32              = 14336
llama_model_loader: - kv  15:                 llama.attention.head_count u32              = 32
llama_model_loader: - kv  16:              llama.attention.head_count_kv u32              = 8
llama_model_loader: - kv  17:                       llama.rope.freq_base f32              = 8000000.000000
llama_model_loader: - kv  18:     llama.attention.layer_norm_rms_epsilon f32              = 0.000010
llama_model_loader: - kv  19:                 llama.attention.key_length u32              = 128
llama_model_loader: - kv  20:               llama.attention.value_length u32              = 128
llama_model_loader: - kv  21:                          general.file_type u32              = 1
llama_model_loader: - kv  22:                           llama.vocab_size u32              = 131384
llama_model_loader: - kv  23:                 llama.rope.dimension_count u32              = 128
llama_model_loader: - kv  24:               general.quantization_version u32              = 2
llama_model_loader: - kv  25:                       tokenizer.ggml.model str              = gpt2
llama_model_loader: - kv  26:                         tokenizer.ggml.pre str              = midm-2.0
llama_model_loader: - kv  27:                      tokenizer.ggml.tokens arr[str,131384]  = ["<|begin_of_text|>", "<pad>", "<|end...
llama_model_loader: - kv  28:                  tokenizer.ggml.token_type arr[i32,131384]  = [3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, ...
llama_model_loader: - kv  29:                      tokenizer.ggml.merges arr[str,131042]  = ["ë ĭ", "ì Ĺ", "Ġ í", "Ŀ ´", ...
llama_model_loader: - kv  30:                tokenizer.ggml.bos_token_id u32              = 0
llama_model_loader: - kv  31:                tokenizer.ggml.eos_token_id u32              = 2
llama_model_loader: - kv  32:            tokenizer.ggml.padding_token_id u32              = 2
llama_model_loader: - kv  33:                    tokenizer.chat_template str              = {{- bos_token }}\n\n{%- if not date_str...
llama_model_loader: - type  f32:   97 tensors
llama_model_loader: - type  f16:  338 tensors
[   1/ 435] output.weight                        - [  4096, 131384,      1,      1], type =    f16, converting to q6_K .. size =  1026.44 MiB ->   421.00 MiB
[   2/ 435] output_norm.weight                   - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[   3/ 435] token_embd.weight                    - [  4096, 131384,      1,      1], type =    f16, converting to q4_K .. size =  1026.44 MiB ->   288.69 MiB
[   4/ 435] blk.0.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[   5/ 435] blk.0.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[   6/ 435] blk.0.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[   7/ 435] blk.0.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[   8/ 435] blk.0.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q6_K .. size =     8.00 MiB ->     3.28 MiB
[   9/ 435] blk.0.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q6_K .. size =   112.00 MiB ->    45.94 MiB
[  10/ 435] blk.0.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  11/ 435] blk.0.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  12/ 435] blk.0.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  13/ 435] blk.1.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  14/ 435] blk.1.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  15/ 435] blk.1.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  16/ 435] blk.1.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  17/ 435] blk.1.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q6_K .. size =     8.00 MiB ->     3.28 MiB
[  18/ 435] blk.1.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q6_K .. size =   112.00 MiB ->    45.94 MiB
[  19/ 435] blk.1.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  20/ 435] blk.1.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  21/ 435] blk.1.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  22/ 435] blk.2.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  23/ 435] blk.2.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  24/ 435] blk.2.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  25/ 435] blk.2.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  26/ 435] blk.2.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q6_K .. size =     8.00 MiB ->     3.28 MiB
[  27/ 435] blk.2.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q6_K .. size =   112.00 MiB ->    45.94 MiB
[  28/ 435] blk.2.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  29/ 435] blk.2.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  30/ 435] blk.2.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  31/ 435] blk.3.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  32/ 435] blk.3.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  33/ 435] blk.3.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  34/ 435] blk.3.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  35/ 435] blk.3.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q6_K .. size =     8.00 MiB ->     3.28 MiB
[  36/ 435] blk.3.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q6_K .. size =   112.00 MiB ->    45.94 MiB
[  37/ 435] blk.3.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  38/ 435] blk.3.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  39/ 435] blk.3.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  40/ 435] blk.4.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  41/ 435] blk.4.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  42/ 435] blk.4.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  43/ 435] blk.4.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  44/ 435] blk.4.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q6_K .. size =     8.00 MiB ->     3.28 MiB
[  45/ 435] blk.4.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q6_K .. size =   112.00 MiB ->    45.94 MiB
[  46/ 435] blk.4.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  47/ 435] blk.4.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  48/ 435] blk.4.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  49/ 435] blk.5.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  50/ 435] blk.5.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  51/ 435] blk.5.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  52/ 435] blk.5.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  53/ 435] blk.5.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q6_K .. size =     8.00 MiB ->     3.28 MiB
[  54/ 435] blk.5.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q6_K .. size =   112.00 MiB ->    45.94 MiB
[  55/ 435] blk.5.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  56/ 435] blk.5.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  57/ 435] blk.5.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  58/ 435] blk.6.attn_k.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  59/ 435] blk.6.attn_norm.weight               - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  60/ 435] blk.6.attn_output.weight             - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  61/ 435] blk.6.attn_q.weight                  - [  4096,   4096,      1,      1], type =    f16, converting to q4_K .. size =    32.00 MiB ->     9.00 MiB
[  62/ 435] blk.6.attn_v.weight                  - [  4096,   1024,      1,      1], type =    f16, converting to q4_K .. size =     8.00 MiB ->     2.25 MiB
[  63/ 435] blk.6.ffn_down.weight                - [ 14336,   4096,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  64/ 435] blk.6.ffn_gate.weight                - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
[  65/ 435] blk.6.ffn_norm.weight                - [  4096,      1,      1,      1], type =    f32, size =    0.016 MiB
[  66/ 435] blk.6.ffn_up.weight                  - [  4096,  14336,      1,      1], type =    f16, converting to q4_K .. size =   112.00 MiB ->    31.50 MiB
