0.00.030.060 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.554.804 W srv  llama_server: -----------------
0.00.554.809 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.554.809 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.554.810 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.554.810 W srv  llama_server: -----------------
0.00.556.296 I srv    load_model: loading model '/workspace/models/EXAONE-3.5-7.8B-Q4_K_M.gguf'
0.00.976.083 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.02.201.089 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.02.204.634 I srv  llama_server: model loaded
0.02.204.643 I srv  llama_server: listening on http://127.0.0.1:8080
0.02.204.644 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.02.204.645 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
63.28.101.425 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
63.28.101.772 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
63.28.101.785 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
63.28.101.929 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
63.28.101.936 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
63.28.102.060 I slot launch_slot_: id  1 | task 2 | processing task, is_child = 0
63.29.067.833 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
63.29.067.982 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
63.32.280.085 I slot print_timing: id  1 | task 2 | n_decoded =    100, tg =  31.11 t/s, tg_3s =  31.11 t/s
63.32.280.341 I slot print_timing: id  2 | task 1 | n_decoded =    100, tg =  31.12 t/s, tg_3s =  31.12 t/s
63.32.280.624 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  31.13 t/s, tg_3s =  31.13 t/s
63.32.656.649 I slot print_timing: id  0 | task 4 | n_decoded =    113, tg =  37.46 t/s, tg_3s =  37.46 t/s
63.33.790.502 I slot print_timing: id  2 | task 1 | prompt eval time =     964.34 ms /   306 tokens (    3.15 ms per token,   317.32 tokens per second)
63.33.790.507 I slot print_timing: id  2 | task 1 |        eval time =    4723.60 ms /   156 tokens (   30.28 ms per token,    33.03 tokens per second)
63.33.790.509 I slot print_timing: id  2 | task 1 |       total time =    5687.94 ms /   462 tokens
63.33.790.520 I slot print_timing: id  2 | task 1 |    graphs reused =        153
63.33.790.798 I slot      release: id  2 | task 1 | stop processing: n_tokens = 461, truncated = 0
63.33.820.851 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.247 (> 0.100 thold), f_keep = 0.234
63.33.863.448 I slot launch_slot_: id  2 | task 161 | processing task, is_child = 0
63.34.712.481 I slot print_timing: id  1 | task 2 | prompt eval time =     963.86 ms /   545 tokens (    1.77 ms per token,   565.44 tokens per second)
63.34.712.488 I slot print_timing: id  1 | task 2 |        eval time =    5646.52 ms /   175 tokens (   32.27 ms per token,    30.99 tokens per second)
63.34.712.490 I slot print_timing: id  1 | task 2 |       total time =    6610.38 ms /   720 tokens
63.34.712.491 I slot print_timing: id  1 | task 2 |    graphs reused =        169
63.34.712.683 I slot      release: id  1 | task 2 | stop processing: n_tokens = 719, truncated = 0
63.34.740.735 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.511 (> 0.100 thold), f_keep = 0.481
63.34.803.236 I slot launch_slot_: id  1 | task 181 | processing task, is_child = 0
63.35.299.854 I slot print_timing: id  3 | task 0 | n_decoded =    181, tg =  29.04 t/s, tg_3s =  26.83 t/s
63.35.678.513 I slot print_timing: id  0 | task 4 | n_decoded =    194, tg =  32.13 t/s, tg_3s =  26.80 t/s
63.36.004.308 I slot print_timing: id  3 | task 0 | prompt eval time =     965.00 ms /   462 tokens (    2.09 ms per token,   478.76 tokens per second)
63.36.004.315 I slot print_timing: id  3 | task 0 |        eval time =    6936.48 ms /   207 tokens (   33.51 ms per token,    29.84 tokens per second)
63.36.004.316 I slot print_timing: id  3 | task 0 |       total time =    7901.48 ms /   669 tokens
63.36.004.318 I slot print_timing: id  3 | task 0 |    graphs reused =        198
63.36.004.510 I slot      release: id  3 | task 0 | stop processing: n_tokens = 668, truncated = 0
63.36.027.819 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.331 (> 0.100 thold), f_keep = 0.162
63.36.085.957 I slot launch_slot_: id  3 | task 214 | processing task, is_child = 0
63.37.293.999 I slot print_timing: id  0 | task 4 | prompt eval time =     571.70 ms /   701 tokens (    0.82 ms per token,  1226.17 tokens per second)
63.37.294.005 I slot print_timing: id  0 | task 4 |        eval time =    7654.29 ms /   243 tokens (   31.50 ms per token,    31.75 tokens per second)
63.37.294.006 I slot print_timing: id  0 | task 4 |       total time =    8225.99 ms /   944 tokens
63.37.294.008 I slot print_timing: id  0 | task 4 |    graphs reused =        232
63.37.294.180 I slot      release: id  0 | task 4 | stop processing: n_tokens = 943, truncated = 0
63.37.318.098 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.612 (> 0.100 thold), f_keep = 0.367
63.37.398.317 I slot launch_slot_: id  0 | task 252 | processing task, is_child = 0
63.37.962.603 I slot print_timing: id  2 | task 161 | n_decoded =    100, tg =  26.89 t/s, tg_3s =  26.89 t/s
63.38.475.890 I slot print_timing: id  1 | task 181 | n_decoded =    100, tg =  30.39 t/s, tg_3s =  30.39 t/s
63.39.368.832 I slot print_timing: id  3 | task 214 | n_decoded =    101, tg =  33.40 t/s, tg_3s =  33.40 t/s
63.40.042.216 I slot print_timing: id  3 | task 214 | prompt eval time =     258.65 ms /   218 tokens (    1.19 ms per token,   842.85 tokens per second)
63.40.042.222 I slot print_timing: id  3 | task 214 |        eval time =    3697.58 ms /   126 tokens (   29.35 ms per token,    34.08 tokens per second)
63.40.042.223 I slot print_timing: id  3 | task 214 |       total time =    3956.22 ms /   344 tokens
63.40.042.225 I slot print_timing: id  3 | task 214 |    graphs reused =        319
63.40.042.341 I slot      release: id  3 | task 214 | stop processing: n_tokens = 451, truncated = 0
63.40.065.600 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.191 (> 0.100 thold), f_keep = 0.239
63.40.108.009 I slot launch_slot_: id  3 | task 343 | processing task, is_child = 0
63.40.847.910 I slot print_timing: id  0 | task 252 | n_decoded =    100, tg =  31.36 t/s, tg_3s =  31.36 t/s
63.40.983.907 I slot print_timing: id  2 | task 161 | n_decoded =    193, tg =  28.63 t/s, tg_3s =  30.78 t/s
63.41.498.079 I slot print_timing: id  1 | task 181 | n_decoded =    193, tg =  30.58 t/s, tg_3s =  30.77 t/s
63.41.932.403 I slot print_timing: id  2 | task 161 | prompt eval time =     379.90 ms /   330 tokens (    1.15 ms per token,   868.65 tokens per second)
63.41.932.409 I slot print_timing: id  2 | task 161 |        eval time =    7689.03 ms /   228 tokens (   33.72 ms per token,    29.65 tokens per second)
63.41.932.413 I slot print_timing: id  2 | task 161 |       total time =    8068.93 ms /   558 tokens
63.41.932.414 I slot print_timing: id  2 | task 161 |    graphs reused =        367
63.41.932.525 I slot      release: id  2 | task 161 | stop processing: n_tokens = 665, truncated = 0
63.41.960.829 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1223485165767
63.42.040.574 I slot launch_slot_: id  2 | task 395 | processing task, is_child = 0
63.43.710.527 I slot print_timing: id  0 | task 252 | prompt eval time =     260.88 ms /   219 tokens (    1.19 ms per token,   839.48 tokens per second)
63.43.710.533 I slot print_timing: id  0 | task 252 |        eval time =    6051.30 ms /   184 tokens (   32.89 ms per token,    30.41 tokens per second)
63.43.710.535 I slot print_timing: id  0 | task 252 |       total time =    6312.17 ms /   403 tokens
63.43.710.536 I slot print_timing: id  0 | task 252 |    graphs reused =        408
63.43.710.635 I slot      release: id  0 | task 252 | stop processing: n_tokens = 748, truncated = 0
63.43.710.935 I slot print_timing: id  1 | task 181 | prompt eval time =     382.60 ms /   331 tokens (    1.16 ms per token,   865.14 tokens per second)
63.43.710.940 I slot print_timing: id  1 | task 181 |        eval time =    8525.08 ms /   253 tokens (   33.70 ms per token,    29.68 tokens per second)
63.43.710.942 I slot print_timing: id  1 | task 181 |       total time =    8907.67 ms /   584 tokens
63.43.710.943 I slot print_timing: id  1 | task 181 |    graphs reused =        408
63.43.711.022 I slot      release: id  1 | task 181 | stop processing: n_tokens = 929, truncated = 0
63.43.731.259 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1223486943878
63.43.795.430 I slot launch_slot_: id  0 | task 440 | processing task, is_child = 0
63.43.873.058 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.415 (> 0.100 thold), f_keep = 0.372
63.43.873.297 I slot launch_slot_: id  1 | task 441 | processing task, is_child = 0
63.44.810.632 I slot print_timing: id  3 | task 343 | n_decoded =    100, tg =  23.76 t/s, tg_3s =  23.76 t/s
63.46.201.818 I slot print_timing: id  2 | task 395 | n_decoded =    100, tg =  27.43 t/s, tg_3s =  27.43 t/s
63.47.702.225 I slot print_timing: id  0 | task 440 | n_decoded =    111, tg =  36.93 t/s, tg_3s =  36.93 t/s
63.47.702.516 I slot print_timing: id  1 | task 441 | n_decoded =    111, tg =  36.93 t/s, tg_3s =  36.93 t/s
63.47.811.831 I slot print_timing: id  3 | task 343 | n_decoded =    210, tg =  29.13 t/s, tg_3s =  36.65 t/s
63.49.204.470 I slot print_timing: id  2 | task 395 | n_decoded =    210, tg =  31.59 t/s, tg_3s =  36.63 t/s
63.50.721.658 I slot print_timing: id  0 | task 440 | n_decoded =    221, tg =  36.68 t/s, tg_3s =  36.43 t/s
63.50.721.941 I slot print_timing: id  1 | task 441 | n_decoded =    221, tg =  36.68 t/s, tg_3s =  36.43 t/s
63.50.832.567 I slot print_timing: id  3 | task 343 | n_decoded =    320, tg =  31.28 t/s, tg_3s =  36.41 t/s
63.51.163.032 I slot print_timing: id  3 | task 343 | prompt eval time =     493.87 ms /   457 tokens (    1.08 ms per token,   925.34 tokens per second)
63.51.163.038 I slot print_timing: id  3 | task 343 |        eval time =   10561.12 ms /   332 tokens (   31.81 ms per token,    31.44 tokens per second)
63.51.163.042 I slot print_timing: id  3 | task 343 |       total time =   11054.99 ms /   789 tokens
63.51.163.044 I slot print_timing: id  3 | task 343 |    graphs reused =        643
63.51.163.258 I slot      release: id  3 | task 343 | stop processing: n_tokens = 896, truncated = 0
63.51.186.962 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.256 (> 0.100 thold), f_keep = 0.121
63.51.263.221 I slot launch_slot_: id  3 | task 680 | processing task, is_child = 0
63.52.225.576 I slot print_timing: id  2 | task 395 | n_decoded =    306, tg =  31.65 t/s, tg_3s =  31.78 t/s
63.53.736.416 I slot print_timing: id  0 | task 440 | n_decoded =    317, tg =  35.07 t/s, tg_3s =  31.84 t/s
63.53.736.732 I slot print_timing: id  1 | task 441 | n_decoded =    317, tg =  35.07 t/s, tg_3s =  31.84 t/s
63.54.234.092 I slot print_timing: id  0 | task 440 | prompt eval time =     823.31 ms /   589 tokens (    1.40 ms per token,   715.41 tokens per second)
63.54.234.098 I slot print_timing: id  0 | task 440 |        eval time =    9537.46 ms /   335 tokens (   28.47 ms per token,    35.12 tokens per second)
63.54.234.100 I slot print_timing: id  0 | task 440 |       total time =   10360.76 ms /   924 tokens
63.54.234.101 I slot print_timing: id  0 | task 440 |    graphs reused =        738
63.54.234.468 I slot      release: id  0 | task 440 | stop processing: n_tokens = 928, truncated = 0
63.54.259.566 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1223497467695
63.54.395.016 I slot launch_slot_: id  0 | task 779 | processing task, is_child = 0
63.54.751.966 I slot print_timing: id  3 | task 680 | n_decoded =    100, tg =  31.59 t/s, tg_3s =  31.59 t/s
63.54.838.412 I slot print_timing: id  2 | task 395 | prompt eval time =     515.61 ms /   458 tokens (    1.13 ms per token,   888.27 tokens per second)
63.54.838.417 I slot print_timing: id  2 | task 395 |        eval time =   12282.20 ms /   385 tokens (   31.90 ms per token,    31.35 tokens per second)
63.54.838.419 I slot print_timing: id  2 | task 395 |       total time =   12797.81 ms /   843 tokens
63.54.838.420 I slot print_timing: id  2 | task 395 |    graphs reused =        742
63.54.838.744 I slot      release: id  2 | task 395 | stop processing: n_tokens = 1188, truncated = 0
63.54.867.782 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1223498071970
63.54.966.205 I slot launch_slot_: id  2 | task 786 | processing task, is_child = 0
63.56.742.952 I slot print_timing: id  1 | task 441 | n_decoded =    394, tg =  32.71 t/s, tg_3s =  25.61 t/s
63.56.934.861 I slot print_timing: id  1 | task 441 | prompt eval time =     823.41 ms /   487 tokens (    1.69 ms per token,   591.45 tokens per second)
63.56.934.866 I slot print_timing: id  1 | task 441 |        eval time =   12237.85 ms /   401 tokens (   30.52 ms per token,    32.77 tokens per second)
63.56.934.868 I slot print_timing: id  1 | task 441 |       total time =   13061.26 ms /   888 tokens
63.56.934.869 I slot print_timing: id  1 | task 441 |    graphs reused =        799
63.56.934.983 I slot      release: id  1 | task 441 | stop processing: n_tokens = 1233, truncated = 0
63.56.963.231 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.581 (> 0.100 thold), f_keep = 0.282
63.57.065.154 I slot launch_slot_: id  1 | task 847 | processing task, is_child = 0
63.57.755.965 I slot print_timing: id  3 | task 680 | n_decoded =    180, tg =  29.17 t/s, tg_3s =  26.63 t/s
63.58.242.243 I slot print_timing: id  0 | task 779 | n_decoded =    100, tg =  28.40 t/s, tg_3s =  28.40 t/s
63.58.405.251 I slot print_timing: id  2 | task 786 | n_decoded =    100, tg =  32.72 t/s, tg_3s =  32.72 t/s
63.59.381.495 I slot print_timing: id  3 | task 680 | prompt eval time =     322.75 ms /   314 tokens (    1.03 ms per token,   972.88 tokens per second)
63.59.381.500 I slot print_timing: id  3 | task 680 |        eval time =    7795.49 ms /   240 tokens (   32.48 ms per token,    30.79 tokens per second)
63.59.381.502 I slot print_timing: id  3 | task 680 |       total time =    8118.24 ms /   554 tokens
63.59.381.504 I slot print_timing: id  3 | task 680 |    graphs reused =        872
63.59.381.610 I slot      release: id  3 | task 680 | stop processing: n_tokens = 661, truncated = 0
63.59.404.864 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.237 (> 0.100 thold), f_keep = 0.163
63.59.463.332 I slot launch_slot_: id  3 | task 925 | processing task, is_child = 0
64.00.437.595 I slot print_timing: id  1 | task 847 | n_decoded =    100, tg =  32.29 t/s, tg_3s =  32.29 t/s
64.01.252.126 I slot print_timing: id  0 | task 779 | n_decoded =    196, tg =  30.01 t/s, tg_3s =  31.89 t/s
64.01.415.678 I slot print_timing: id  2 | task 786 | n_decoded =    196, tg =  32.31 t/s, tg_3s =  31.89 t/s
64.02.863.421 I slot print_timing: id  3 | task 925 | n_decoded =    112, tg =  37.00 t/s, tg_3s =  37.00 t/s
64.02.945.348 I slot print_timing: id  2 | task 786 | prompt eval time =     383.13 ms /   355 tokens (    1.08 ms per token,   926.58 tokens per second)
64.02.945.353 I slot print_timing: id  2 | task 786 |        eval time =    7595.98 ms /   252 tokens (   30.14 ms per token,    33.18 tokens per second)
64.02.945.354 I slot print_timing: id  2 | task 786 |       total time =    7979.11 ms /   607 tokens
64.02.945.356 I slot print_timing: id  2 | task 786 |    graphs reused =        985
64.02.945.455 I slot      release: id  2 | task 786 | stop processing: n_tokens = 611, truncated = 0
64.02.974.121 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1223506178697
64.03.072.595 I slot launch_slot_: id  2 | task 1042 | processing task, is_child = 0
64.03.465.202 I slot print_timing: id  1 | task 847 | n_decoded =    194, tg =  31.67 t/s, tg_3s =  31.05 t/s
64.03.773.299 I slot print_timing: id  0 | task 779 | prompt eval time =     325.84 ms /   315 tokens (    1.03 ms per token,   966.74 tokens per second)
64.03.773.306 I slot print_timing: id  0 | task 779 |        eval time =    9052.42 ms /   271 tokens (   33.40 ms per token,    29.94 tokens per second)
64.03.773.307 I slot print_timing: id  0 | task 779 |       total time =    9378.25 ms /   586 tokens
64.03.773.309 I slot print_timing: id  0 | task 779 |    graphs reused =        995
64.03.773.405 I slot      release: id  0 | task 779 | stop processing: n_tokens = 931, truncated = 0
64.03.797.416 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1223507006631
64.03.875.955 I slot launch_slot_: id  0 | task 1056 | processing task, is_child = 0
64.05.870.363 I slot print_timing: id  3 | task 925 | n_decoded =    187, tg =  30.99 t/s, tg_3s =  24.94 t/s
64.06.034.069 I slot print_timing: id  1 | task 847 | prompt eval time =     275.19 ms /   251 tokens (    1.10 ms per token,   912.10 tokens per second)
64.06.034.074 I slot print_timing: id  1 | task 847 |        eval time =    8693.70 ms /   270 tokens (   32.20 ms per token,    31.06 tokens per second)
64.06.034.076 I slot print_timing: id  1 | task 847 |       total time =    8968.89 ms /   521 tokens
64.06.034.077 I slot print_timing: id  1 | task 847 |    graphs reused =       1058
64.06.034.191 I slot      release: id  1 | task 847 | stop processing: n_tokens = 868, truncated = 0
64.06.062.602 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.514 (> 0.100 thold), f_keep = 0.400
64.06.136.034 I slot launch_slot_: id  1 | task 1122 | processing task, is_child = 0
64.07.108.079 I slot print_timing: id  2 | task 1042 | n_decoded =    100, tg =  27.45 t/s, tg_3s =  27.45 t/s
64.07.462.331 I slot print_timing: id  0 | task 1056 | n_decoded =    100, tg =  31.74 t/s, tg_3s =  31.74 t/s
64.08.881.585 I slot print_timing: id  3 | task 925 | n_decoded =    281, tg =  31.07 t/s, tg_3s =  31.22 t/s
64.09.099.478 I slot print_timing: id  3 | task 925 | prompt eval time =     373.32 ms /   348 tokens (    1.07 ms per token,   932.16 tokens per second)
64.09.099.485 I slot print_timing: id  3 | task 925 |        eval time =    9262.79 ms /   289 tokens (   32.05 ms per token,    31.20 tokens per second)
64.09.099.486 I slot print_timing: id  3 | task 925 |       total time =    9636.12 ms /   637 tokens
64.09.099.490 I slot print_timing: id  3 | task 925 |    graphs reused =       1151
64.09.099.636 I slot      release: id  3 | task 925 | stop processing: n_tokens = 744, truncated = 0
64.09.123.360 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.236 (> 0.100 thold), f_keep = 0.145
64.09.188.607 I slot launch_slot_: id  3 | task 1219 | processing task, is_child = 0
64.09.646.605 I slot print_timing: id  1 | task 1122 | n_decoded =    100, tg =  32.01 t/s, tg_3s =  32.01 t/s
64.10.113.001 I slot print_timing: id  2 | task 1042 | n_decoded =    195, tg =  29.33 t/s, tg_3s =  31.61 t/s
64.10.467.998 I slot print_timing: id  0 | task 1056 | n_decoded =    195, tg =  31.68 t/s, tg_3s =  31.61 t/s
64.12.027.797 I slot print_timing: id  0 | task 1056 | prompt eval time =     435.92 ms /   431 tokens (    1.01 ms per token,   988.71 tokens per second)
