0.00.983.179 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.379.165 W srv  llama_server: -----------------
0.01.379.170 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.379.170 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.379.171 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.379.171 W srv  llama_server: -----------------
0.01.380.574 I srv    load_model: loading model '/workspace/models/Qwen3-8B-Q4_K_M.gguf'
0.01.891.649 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.04.313.936 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.04.324.961 I srv  llama_server: model loaded
0.04.324.971 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.324.972 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.324.973 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.27.857.875 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.27.858.066 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.27.858.075 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.27.858.146 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.27.858.154 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.27.858.234 I slot launch_slot_: id  1 | task 2 | processing task, is_child = 0
0.29.194.103 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.194.178 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.32.614.817 I slot print_timing: id  1 | task 2 | n_decoded =    100, tg =  29.21 t/s, tg_3s =  29.21 t/s
0.32.615.133 I slot print_timing: id  2 | task 1 | n_decoded =    100, tg =  29.22 t/s, tg_3s =  29.22 t/s
0.32.615.447 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  29.23 t/s, tg_3s =  29.23 t/s
0.32.760.840 I slot print_timing: id  0 | task 4 | n_decoded =    104, tg =  34.51 t/s, tg_3s =  34.51 t/s
0.35.619.393 I slot print_timing: id  1 | task 2 | n_decoded =    202, tg =  31.43 t/s, tg_3s =  33.95 t/s
0.35.619.738 I slot print_timing: id  2 | task 1 | n_decoded =    202, tg =  31.43 t/s, tg_3s =  33.95 t/s
0.35.620.076 I slot print_timing: id  3 | task 0 | n_decoded =    202, tg =  31.43 t/s, tg_3s =  33.95 t/s
0.35.766.372 I slot print_timing: id  0 | task 4 | n_decoded =    206, tg =  34.22 t/s, tg_3s =  33.94 t/s
0.36.240.711 I slot print_timing: id  3 | task 0 | prompt eval time =    1334.74 ms /   390 tokens (    3.42 ms per token,   292.19 tokens per second)
0.36.240.716 I slot print_timing: id  3 | task 0 |        eval time =    7046.61 ms /   223 tokens (   31.60 ms per token,    31.65 tokens per second)
0.36.240.717 I slot print_timing: id  3 | task 0 |       total time =    8381.35 ms /   613 tokens
0.36.240.739 I slot print_timing: id  3 | task 0 |    graphs reused =        220
0.36.241.053 I slot      release: id  3 | task 0 | stop processing: n_tokens = 612, truncated = 0
0.36.267.276 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.243 (> 0.100 thold), f_keep = 0.214
0.36.329.353 I slot launch_slot_: id  3 | task 228 | processing task, is_child = 0
0.37.730.146 I slot print_timing: id  2 | task 1 | prompt eval time =    1333.92 ms /   654 tokens (    2.04 ms per token,   490.29 tokens per second)
0.37.730.152 I slot print_timing: id  2 | task 1 |        eval time =    8537.34 ms /   257 tokens (   33.22 ms per token,    30.10 tokens per second)
0.37.730.153 I slot print_timing: id  2 | task 1 |       total time =    9871.25 ms /   911 tokens
0.37.730.169 I slot print_timing: id  2 | task 1 |    graphs reused =        251
0.37.730.398 I slot      release: id  2 | task 1 | stop processing: n_tokens = 910, truncated = 0
0.37.763.686 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.492 (> 0.100 thold), f_keep = 0.434
0.37.849.578 I slot launch_slot_: id  2 | task 263 | processing task, is_child = 0
0.38.648.208 I slot print_timing: id  1 | task 2 | n_decoded =    270, tg =  28.55 t/s, tg_3s =  22.45 t/s
0.38.766.989 I slot print_timing: id  0 | task 4 | n_decoded =    273, tg =  30.27 t/s, tg_3s =  22.33 t/s
0.40.248.086 I slot print_timing: id  3 | task 228 | n_decoded =    100, tg =  28.82 t/s, tg_3s =  28.82 t/s
0.41.341.563 I slot print_timing: id  2 | task 263 | n_decoded =    103, tg =  34.05 t/s, tg_3s =  34.05 t/s
0.41.639.409 I slot print_timing: id  0 | task 4 | prompt eval time =     553.03 ms /   592 tokens (    0.93 ms per token,  1070.46 tokens per second)
0.41.639.420 I slot print_timing: id  0 | task 4 |        eval time =   11892.15 ms /   370 tokens (   32.14 ms per token,    31.11 tokens per second)
0.41.639.421 I slot print_timing: id  0 | task 4 |       total time =   12445.18 ms /   962 tokens
0.41.639.437 I slot print_timing: id  0 | task 4 |    graphs reused =        362
0.41.639.587 I slot      release: id  0 | task 4 | stop processing: n_tokens = 961, truncated = 0
0.41.667.508 I slot print_timing: id  1 | task 2 | n_decoded =    372, tg =  29.82 t/s, tg_3s =  33.78 t/s
0.41.720.931 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.325 (> 0.100 thold), f_keep = 0.136
0.41.817.647 I slot launch_slot_: id  0 | task 380 | processing task, is_child = 0
0.43.266.727 I slot print_timing: id  3 | task 228 | n_decoded =    189, tg =  29.13 t/s, tg_3s =  29.48 t/s
0.44.359.852 I slot print_timing: id  2 | task 263 | n_decoded =    192, tg =  31.77 t/s, tg_3s =  29.49 t/s
0.44.477.221 I slot print_timing: id  1 | task 2 | prompt eval time =    1333.24 ms /   856 tokens (    1.56 ms per token,   642.04 tokens per second)
0.44.477.228 I slot print_timing: id  1 | task 2 |        eval time =   15285.71 ms /   454 tokens (   33.67 ms per token,    29.70 tokens per second)
0.44.477.229 I slot print_timing: id  1 | task 2 |       total time =   16618.95 ms /  1310 tokens
0.44.477.231 I slot print_timing: id  1 | task 2 |    graphs reused =        442
0.44.477.315 I slot      release: id  1 | task 2 | stop processing: n_tokens = 1309, truncated = 0
0.44.508.720 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.592 (> 0.100 thold), f_keep = 0.302
0.44.630.392 I slot launch_slot_: id  1 | task 462 | processing task, is_child = 0
0.45.505.635 I slot print_timing: id  0 | task 380 | n_decoded =    100, tg =  29.70 t/s, tg_3s =  29.70 t/s
0.46.278.345 I slot print_timing: id  3 | task 228 | n_decoded =    276, tg =  29.05 t/s, tg_3s =  28.89 t/s
0.47.377.353 I slot print_timing: id  2 | task 263 | n_decoded =    279, tg =  30.79 t/s, tg_3s =  28.83 t/s
0.47.970.566 I slot print_timing: id  1 | task 462 | n_decoded =    102, tg =  34.00 t/s, tg_3s =  34.00 t/s
0.48.535.231 I slot print_timing: id  0 | task 380 | n_decoded =    202, tg =  31.58 t/s, tg_3s =  33.67 t/s
0.48.536.164 I slot print_timing: id  3 | task 228 | prompt eval time =     449.15 ms /   408 tokens (    1.10 ms per token,   908.38 tokens per second)
0.48.536.169 I slot print_timing: id  3 | task 228 |        eval time =   11757.63 ms /   352 tokens (   33.40 ms per token,    29.94 tokens per second)
0.48.536.170 I slot print_timing: id  3 | task 228 |       total time =   12206.78 ms /   760 tokens
0.48.536.171 I slot print_timing: id  3 | task 228 |    graphs reused =        560
0.48.536.443 I slot      release: id  3 | task 228 | stop processing: n_tokens = 890, truncated = 0
0.48.588.409 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.186 (> 0.100 thold), f_keep = 0.147
0.48.675.221 I slot launch_slot_: id  3 | task 586 | processing task, is_child = 0
0.50.223.079 I slot print_timing: id  0 | task 380 | prompt eval time =     320.48 ms /   272 tokens (    1.18 ms per token,   848.72 tokens per second)
0.50.223.085 I slot print_timing: id  0 | task 380 |        eval time =    8084.90 ms /   238 tokens (   33.97 ms per token,    29.44 tokens per second)
0.50.223.086 I slot print_timing: id  0 | task 380 |       total time =    8405.39 ms /   510 tokens
0.50.223.088 I slot print_timing: id  0 | task 380 |    graphs reused =        593
0.50.223.183 I slot      release: id  0 | task 380 | stop processing: n_tokens = 640, truncated = 0
0.50.249.795 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1218716081593
0.50.352.544 I slot launch_slot_: id  0 | task 622 | processing task, is_child = 0
0.50.928.821 I slot print_timing: id  2 | task 263 | n_decoded =    356, tg =  28.23 t/s, tg_3s =  21.68 t/s
0.50.989.439 I slot print_timing: id  1 | task 462 | n_decoded =    161, tg =  26.75 t/s, tg_3s =  19.54 t/s
0.52.266.971 I slot print_timing: id  2 | task 263 | prompt eval time =     466.81 ms /   408 tokens (    1.14 ms per token,   874.02 tokens per second)
0.52.266.977 I slot print_timing: id  2 | task 263 |        eval time =   13950.55 ms /   401 tokens (   34.79 ms per token,    28.74 tokens per second)
0.52.266.978 I slot print_timing: id  2 | task 263 |       total time =   14417.36 ms /   809 tokens
0.52.266.980 I slot print_timing: id  2 | task 263 |    graphs reused =        638
0.52.267.122 I slot      release: id  2 | task 263 | stop processing: n_tokens = 1203, truncated = 0
0.52.298.872 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1218718125533
0.52.415.970 I slot launch_slot_: id  2 | task 670 | processing task, is_child = 0
0.53.573.251 I slot print_timing: id  3 | task 586 | n_decoded =    100, tg =  23.10 t/s, tg_3s =  23.10 t/s
0.54.017.680 I slot print_timing: id  1 | task 462 | n_decoded =    238, tg =  26.31 t/s, tg_3s =  25.43 t/s
0.54.611.132 I slot print_timing: id  0 | task 622 | n_decoded =    100, tg =  27.15 t/s, tg_3s =  27.15 t/s
0.54.670.996 I slot print_timing: id  1 | task 462 | prompt eval time =     340.05 ms /   272 tokens (    1.25 ms per token,   799.88 tokens per second)
0.54.671.001 I slot print_timing: id  1 | task 462 |        eval time =    9700.53 ms /   260 tokens (   37.31 ms per token,    26.80 tokens per second)
0.54.671.002 I slot print_timing: id  1 | task 462 |       total time =   10040.58 ms /   532 tokens
0.54.671.003 I slot print_timing: id  1 | task 462 |    graphs reused =        690
0.54.671.065 I slot      release: id  1 | task 462 | stop processing: n_tokens = 926, truncated = 0
0.54.702.588 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.404 (> 0.100 thold), f_keep = 0.427
0.54.806.639 I slot launch_slot_: id  1 | task 727 | processing task, is_child = 0
0.56.602.323 I slot print_timing: id  3 | task 586 | n_decoded =    179, tg =  24.33 t/s, tg_3s =  26.08 t/s
0.56.691.776 I slot print_timing: id  2 | task 670 | n_decoded =    100, tg =  27.59 t/s, tg_3s =  27.59 t/s
0.57.616.478 I slot print_timing: id  0 | task 622 | n_decoded =    178, tg =  26.61 t/s, tg_3s =  25.95 t/s
0.58.422.605 I slot print_timing: id  1 | task 727 | n_decoded =    102, tg =  33.77 t/s, tg_3s =  33.77 t/s
0.59.619.343 I slot print_timing: id  3 | task 586 | n_decoded =    280, tg =  26.99 t/s, tg_3s =  33.48 t/s
0.59.708.336 I slot print_timing: id  2 | task 670 | n_decoded =    201, tg =  30.26 t/s, tg_3s =  33.48 t/s
1.00.630.632 I slot print_timing: id  0 | task 622 | n_decoded =    279, tg =  28.76 t/s, tg_3s =  33.51 t/s
1.01.444.775 I slot print_timing: id  1 | task 727 | n_decoded =    203, tg =  33.60 t/s, tg_3s =  33.42 t/s
1.02.621.719 I slot print_timing: id  3 | task 586 | n_decoded =    380, tg =  28.41 t/s, tg_3s =  33.31 t/s
1.02.711.559 I slot print_timing: id  2 | task 670 | n_decoded =    301, tg =  31.21 t/s, tg_3s =  33.30 t/s
1.03.645.654 I slot print_timing: id  0 | task 622 | n_decoded =    379, tg =  29.80 t/s, tg_3s =  33.17 t/s
1.04.455.474 I slot print_timing: id  1 | task 727 | n_decoded =    303, tg =  33.47 t/s, tg_3s =  33.21 t/s
1.05.632.343 I slot print_timing: id  3 | task 586 | n_decoded =    480, tg =  29.29 t/s, tg_3s =  33.22 t/s
1.05.722.129 I slot print_timing: id  2 | task 670 | n_decoded =    401, tg =  31.69 t/s, tg_3s =  33.22 t/s
1.05.722.478 I slot print_timing: id  3 | task 586 | prompt eval time =     568.67 ms /   575 tokens (    0.99 ms per token,  1011.14 tokens per second)
1.05.722.482 I slot print_timing: id  3 | task 586 |        eval time =   16478.57 ms /   483 tokens (   34.12 ms per token,    29.31 tokens per second)
1.05.722.483 I slot print_timing: id  3 | task 586 |       total time =   17047.23 ms /  1058 tokens
1.05.722.484 I slot print_timing: id  3 | task 586 |    graphs reused =       1032
1.05.722.902 I slot      release: id  3 | task 586 | stop processing: n_tokens = 1188, truncated = 0
1.05.774.564 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.245 (> 0.100 thold), f_keep = 0.110
1.05.904.689 I slot launch_slot_: id  3 | task 1075 | processing task, is_child = 0
1.06.669.639 I slot print_timing: id  0 | task 622 | n_decoded =    461, tg =  29.29 t/s, tg_3s =  27.12 t/s
1.07.478.146 I slot print_timing: id  1 | task 727 | n_decoded =    385, tg =  31.88 t/s, tg_3s =  27.13 t/s
1.07.508.554 I slot print_timing: id  2 | task 670 | prompt eval time =     650.91 ms /   713 tokens (    0.91 ms per token,  1095.38 tokens per second)
1.07.508.559 I slot print_timing: id  2 | task 670 |        eval time =   14441.65 ms /   442 tokens (   32.67 ms per token,    30.61 tokens per second)
1.07.508.560 I slot print_timing: id  2 | task 670 |       total time =   15092.56 ms /  1155 tokens
1.07.508.561 I slot print_timing: id  2 | task 670 |    graphs reused =       1070
1.07.508.739 I slot      release: id  2 | task 670 | stop processing: n_tokens = 1155, truncated = 0
1.07.540.952 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1218733367150
1.07.746.716 I slot launch_slot_: id  2 | task 1116 | processing task, is_child = 0
1.09.672.611 I slot print_timing: id  0 | task 622 | n_decoded =    539, tg =  28.75 t/s, tg_3s =  25.97 t/s
1.10.004.149 I slot print_timing: id  3 | task 1075 | n_decoded =    100, tg =  27.47 t/s, tg_3s =  27.47 t/s
1.10.482.341 I slot print_timing: id  1 | task 727 | n_decoded =    463, tg =  30.70 t/s, tg_3s =  25.96 t/s
1.11.238.048 I slot print_timing: id  2 | task 1116 | n_decoded =    101, tg =  33.48 t/s, tg_3s =  33.48 t/s
