0.01.683.837 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.461.644 W srv  llama_server: -----------------
0.02.461.649 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.461.649 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.461.650 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.461.650 W srv  llama_server: -----------------
0.02.463.171 I srv    load_model: loading model '/workspace/models/midm-11b-Q4_K_M.gguf'
0.05.342.294 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'false'
0.05.357.232 I srv  llama_server: model loaded
0.05.357.243 I srv  llama_server: listening on http://127.0.0.1:8081
0.10.140.125 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.140.262 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.10.140.271 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.10.140.333 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.10.140.340 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.10.140.396 I slot launch_slot_: id  1 | task 1 | processing task, is_child = 0
0.12.262.677 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.262.767 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.17.155.611 I slot print_timing: id  1 | task 1 | n_decoded =    100, tg =  20.43 t/s, tg_3s =  20.43 t/s
0.17.155.915 I slot print_timing: id  2 | task 2 | n_decoded =    100, tg =  20.43 t/s, tg_3s =  20.43 t/s
0.17.156.209 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  20.44 t/s, tg_3s =  20.44 t/s
0.17.196.436 I slot print_timing: id  0 | task 4 | n_decoded =    100, tg =  24.36 t/s, tg_3s =  24.36 t/s
0.20.188.584 I slot print_timing: id  1 | task 1 | n_decoded =    173, tg =  21.82 t/s, tg_3s =  24.07 t/s
0.20.188.897 I slot print_timing: id  2 | task 2 | n_decoded =    173, tg =  21.82 t/s, tg_3s =  24.07 t/s
0.20.189.185 I slot print_timing: id  3 | task 0 | n_decoded =    173, tg =  21.83 t/s, tg_3s =  24.07 t/s
0.20.229.822 I slot print_timing: id  0 | task 4 | n_decoded =    173, tg =  24.24 t/s, tg_3s =  24.07 t/s
0.23.222.458 I slot print_timing: id  1 | task 1 | n_decoded =    245, tg =  22.35 t/s, tg_3s =  23.73 t/s
0.23.222.762 I slot print_timing: id  2 | task 2 | n_decoded =    245, tg =  22.35 t/s, tg_3s =  23.73 t/s
0.23.223.055 I slot print_timing: id  3 | task 0 | n_decoded =    245, tg =  22.35 t/s, tg_3s =  23.73 t/s
0.23.264.204 I slot print_timing: id  0 | task 4 | n_decoded =    245, tg =  24.09 t/s, tg_3s =  23.73 t/s
0.26.253.396 I slot print_timing: id  1 | task 1 | n_decoded =    317, tg =  22.65 t/s, tg_3s =  23.76 t/s
0.26.253.718 I slot print_timing: id  2 | task 2 | n_decoded =    317, tg =  22.66 t/s, tg_3s =  23.75 t/s
0.26.254.025 I slot print_timing: id  3 | task 0 | n_decoded =    317, tg =  22.66 t/s, tg_3s =  23.75 t/s
0.26.294.620 I slot print_timing: id  0 | task 4 | n_decoded =    317, tg =  24.01 t/s, tg_3s =  23.76 t/s
0.26.970.428 I slot print_timing: id  3 | task 0 | prompt eval time =    2121.38 ms /   599 tokens (    3.54 ms per token,   282.36 tokens per second)
0.26.970.434 I slot print_timing: id  3 | task 0 |        eval time =   14707.75 ms /   334 tokens (   44.04 ms per token,    22.71 tokens per second)
0.26.970.435 I slot print_timing: id  3 | task 0 |       total time =   16829.13 ms /   933 tokens
0.26.970.457 I slot print_timing: id  3 | task 0 |    graphs reused =        332
0.26.970.774 I slot      release: id  3 | task 0 | stop processing: n_tokens = 932, truncated = 0
0.27.008.130 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.856 (> 0.100 thold), f_keep = 0.548
0.27.008.201 I slot launch_slot_: id  3 | task 339 | processing task, is_child = 0
0.29.180.602 I slot print_timing: id  0 | task 4 | prompt eval time =     829.36 ms /   600 tokens (    1.38 ms per token,   723.45 tokens per second)
0.29.180.607 I slot print_timing: id  0 | task 4 |        eval time =   16088.45 ms /   382 tokens (   42.12 ms per token,    23.74 tokens per second)
0.29.180.609 I slot print_timing: id  0 | task 4 |       total time =   16917.81 ms /   982 tokens
