file,batch,pair_id,variant,model,label,chars
D04901.docx,batch01,abstract-ART000883946,human,human,human,726
D04902.docx,batch01,abstract-ART000868525,human,human,human,359
D04903.docx,batch01,abstract-ART000872220,human,human,human,716
D04904.docx,batch01,abstract-ART000852042,human,human,human,650
D04905.docx,batch01,abstract-ART000890169,human,human,human,394
D04906.docx,batch01,abstract-ART000877756,human,human,human,507
D04907.docx,batch01,abstract-ART001878102,human,human,human,483
D04908.docx,batch01,abstract-ART000860330,human,human,human,331
D04909.docx,batch01,abstract-ART000879767,human,human,human,408
D04910.docx,batch01,abstract-ART000905995,human,human,human,534
D04911.docx,batch01,abstract-ART000902317,human,human,human,613
D04912.docx,batch01,abstract-ART000905247,human,human,human,577
D04913.docx,batch01,abstract-ART002446576,human,human,human,757
D04914.docx,batch01,abstract-ART002285982,human,human,human,769
D04915.docx,batch01,abstract-ART000863530,human,human,human,340
D04916.docx,batch01,abstract-ART000903076,human,human,human,407
D04917.docx,batch01,abstract-ART000858893,human,human,human,473
D04918.docx,batch01,abstract-ART000903231,human,human,human,456
D04919.docx,batch01,abstract-ART000863192,human,human,human,319
D04920.docx,batch01,abstract-ART000887091,human,human,human,929
D04921.docx,batch01,abstract-ART000858721,human,human,human,982
D04922.docx,batch01,abstract-ART000906519,human,human,human,703
D04923.docx,batch01,abstract-ART000863213,human,human,human,437
D04924.docx,batch01,abstract-ART000905609,human,human,human,467
D04925.docx,batch01,abstract-ART000895529,human,human,human,540
D04926.docx,batch01,abstract-ART000859444,human,human,human,586
D04927.docx,batch01,abstract-ART000876542,human,human,human,444
D04928.docx,batch01,abstract-ART000905860,human,human,human,763
D04929.docx,batch01,abstract-ART000903094,human,human,human,345
D04930.docx,batch01,abstract-ART001914144,human,human,human,911
D04931.docx,batch01,abstract-ART000861144,human,human,human,758
D04932.docx,batch01,abstract-ART001917110,human,human,human,519
D04933.docx,batch01,abstract-ART000856550,human,human,human,447
D04934.docx,batch01,abstract-ART000867290,human,human,human,363
D04935.docx,batch01,abstract-ART000900079,human,human,human,704
D04936.docx,batch01,abstract-ART000861030,human,human,human,604
D04937.docx,batch01,abstract-ART000899436,human,human,human,848
D04938.docx,batch01,abstract-ART000902968,human,human,human,415
D04939.docx,batch01,abstract-ART000858262,human,human,human,701
D04940.docx,batch01,abstract-ART000891631,human,human,human,679
D04941.docx,batch01,abstract-ART001464003,human,human,human,390
